"Code de categorie";"Designation";"Agence";"Famille de categorie";"num_serie_materiels";"quantite_materiels";"designation_comp";"num_serie_composant"
"1213";"Jeu de chiffres et lettres a frapper";"21 Rue de la Dhuys, 93470 Coubron";"OUTILS";"7";"22";"";"";
"1213";"Jeu de chiffres et lettres a frapper";"21 Rue de la Dhuys, 93470 Coubron";"OUTILS";"";"22";"";"";
"1213";"Jeu de chiffres et lettres a frapper";"324 route des vernes 74370 Pringy Annecy";"OUTILS";"";"1";"";"";
"1213";"Jeu de chiffres et lettres a frapper";"9 Rue de l'Aerotrain 91470 Limours";"OUTILS";"";"1";"";"";
"123";"Porte Touret S1000";"21 Rue de la Dhuys, 93470 Coubron";"OUTILS";"";"2";"";"";
"123";"Porte Touret S1000";"324 route des vernes 74370 Pringy Annecy";"OUTILS";"";"2";"";"";
"155";"SUMITOMO T-72C+";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"123";"1";"";"";
"155";"SUMITOMO T-72C+";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"234926983037";"1";"Cliveuse";"F27978";
"155";"SUMITOMO T-72C+";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"234926983037";"1";"batterie";"00046677";
"155";"SUMITOMO T-72C+";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"234926983037";"1";"chargeur";"2049001328";
"155";"SUMITOMO T-72C+";"7 Rue Jean Baptiste Say 21800 Chevigny ST Sauveur";"SOUDEUSE";"234927168054";"1";"Cliveuse";"RS31079";
"155";"SUMITOMO T-72C+";"7 Rue Jean Baptiste Say 21800 Chevigny ST Sauveur";"SOUDEUSE";"234927168054";"1";"batterie";"00052412";
"155";"SUMITOMO T-72C+";"7 Rue Jean Baptiste Say 21800 Chevigny ST Sauveur";"SOUDEUSE";"234927168054";"1";"chargeur";"2101000755";
"155";"SUMITOMO T-72C+";"7 Rue Jean Baptiste Say 21800 Chevigny ST Sauveur";"SOUDEUSE";"234927277018";"1";"Cliveuse";"F26201";
"155";"SUMITOMO T-72C+";"7 Rue Jean Baptiste Say 21800 Chevigny ST Sauveur";"SOUDEUSE";"234927277018";"1";"batterie";"00051069";
"155";"SUMITOMO T-72C+";"7 Rue Jean Baptiste Say 21800 Chevigny ST Sauveur";"SOUDEUSE";"234927277018";"1";"chargeur";"2119001101";
"155";"SUMITOMO T-72C+";"7 Rue Jean Baptiste Say 21800 Chevigny ST Sauveur";"SOUDEUSE";"234927507046";"1";"chargeur";"2120000839";
"155";"SUMITOMO T-72C+";"7 Rue Jean Baptiste Say 21800 Chevigny ST Sauveur";"SOUDEUSE";"234927507046";"1";"Cliveuse";"F26615";
"155";"SUMITOMO T-72C+";"7 Rue Jean Baptiste Say 21800 Chevigny ST Sauveur";"SOUDEUSE";"234927507046";"1";"batterie";"00055340";
"155";"SUMITOMO T-72C+";"7 Rue Jean Baptiste Say 21800 Chevigny ST Sauveur";"SOUDEUSE";"234927507047";"1";"chargeur";"2120000838";
